==========	0	==========
state	0.00865953
program	0.0069577
bill	0.0066756
nation	0.00660115
work	0.00580757
test	0.00494772
presid	0.00471772
feder	0.00469747
studi	0.00465846
congress	0.00448466
==========	1	==========
stock	0.0169992
trade	0.0139303
market	0.0131253
dollar	0.0118209
point	0.0107219
share	0.0105026
iraq	0.00941601
japan	0.00932341
close	0.00916858
bank	0.00872602
==========	2	==========
court	0.0088061
state	0.00744232
feder	0.00625429
judg	0.00568805
charg	0.00531645
airlin	0.00529292
attorney	0.00516663
case	0.00509218
plane	0.00472191
pilot	0.00466966
==========	3	==========
million	0.010443
compani	0.00907405
record	0.00738597
show	0.00666262
first	0.00590613
sale	0.00518652
like	0.004883
home	0.00438388
work	0.00436952
play	0.00392316
==========	4	==========
state	0.00836256
nation	0.00706293
million	0.00553971
california	0.00553645
southern	0.00534558
mile	0.00512724
water	0.00484909
offici	0.00482979
space	0.00481686
area	0.0047647
==========	5	==========
defen	0.00973048
militari	0.00963178
govern	0.00852083
forc	0.00796504
offici	0.00751709
senat	0.00709204
presid	0.00678262
unit	0.00655393
american	0.00652959
congress	0.0065142
==========	6	==========
billion	0.0164478
price	0.0147664
million	0.0144552
cent	0.011471
compani	0.0100799
increa	0.00968428
market	0.00950261
trade	0.00932889
report	0.00839271
rate	0.00815647
==========	7	==========
peopl	0.0127418
govern	0.0118114
parti	0.0076469
group	0.00755796
presid	0.00742333
polit	0.00676749
nation	0.00614483
black	0.00573243
report	0.00550465
elect	0.00536381
==========	8	==========
polic	0.0208052
kill	0.01082
peopl	0.00974299
report	0.00751118
fire	0.00705198
offici	0.00605808
arrest	0.00572406
drug	0.00569724
hospit	0.00568784
death	0.00564638
==========	9	==========
soviet	0.0219611
bush	0.0177907
presid	0.0108614
parti	0.00959422
state	0.00930345
dukaki	0.00858826
democrat	0.00838521
gorbachev	0.00836529
leader	0.00797971
union	0.00716696
